p (r/min),w (rad/s)
0.430833,0.00820305
-0.678333,-0.0129154
-1.55833,-0.0296706
1.1,0.020944
-1.32917,-0.0253073
0.66,0.0125664
1.5125,0.0287979
0.650833,0.0123918
-1.0725,-0.0204204
0.586667,0.0111701
0.953333,0.0181514
2.31,0.0439823
-0.485833,-0.00925025
3.12583,0.0595157
-0.201667,-0.00383972
-1.00833,-0.0191986
3.07083,0.0584685
-1.28333,-0.0244346
1.43917,0.0274017
-1.75083,-0.0333358
0.146667,0.00279253
-5.38083,-0.102451
-4.72083,-0.0898845
-10.3217,-0.196524
-16.2708,-0.309796
-11.8983,-0.226544
-3.7675,-0.071733
-2.37417,-0.045204
1.22833,0.0233874
-1.06333,-0.0202458
0.843333,0.016057
-1.045,-0.0198968
0.1375,0.00261799
-1.1,-0.020944
0.3025,0.00575959
0.4125,0.00785398
0.0825,0.0015708
0.128333,0.00244346
0.55,0.010472
-0.100833,-0.00191986
-0.403333,-0.00767945
-0.421667,-0.00802851
0.421667,0.00802851
0,0
0.1375,0.00261799
-1.35667,-0.0258309
-0.44,-0.00837758
0.485833,0.00925025
-0.650833,-0.0123918
0.861667,0.0164061
0.678333,0.0129154
-1.24667,-0.0237365
0.495,0.00942478
-0.889167,-0.0169297
1.08167,0.0205949
-0.2475,-0.00471239
0.256667,0.00488692
-0.0825,-0.0015708
-0.531667,-0.0101229
0.0641667,0.00122173
0.568333,0.010821
-0.0641667,-0.00122173
0.430833,0.00820305
-0.33,-0.00628319
0.0275,0.000523599
0.0275,0.000523599
0.586667,0.0111701
0.385,0.00733038
-0.605,-0.0115192
0.458333,0.00872665
-0.100833,-0.00191986
-0.476667,-0.00907571
-0.229167,-0.00436332
0.210833,0.00401426
-0.0733333,-0.00139626
0.210833,0.00401426
-0.293333,-0.00558505
-0.146667,-0.00279253
0.788333,0.0150098
-0.779167,-0.0148353
0.3575,0.00680678
-0.898333,-0.0171042
-0.229167,-0.00436332
0.0366667,0.000698132
-0.614167,-0.0116937
-0.119167,-0.00226893
0.183333,0.00349066
-0.870833,-0.0165806
0.614167,0.0116937
0.614167,0.0116937
-0.944167,-0.0179769
-0.3575,-0.00680678
-0.889167,-0.0169297
-1.32,-0.0251327
0.88,0.0167552
-1.20083,-0.0228638
0.715,0.0136136
-0.3575,-0.00680678
-0.5775,-0.0109956
-0.5775,-0.0109956
-2.19083,-0.0417134
0.5225,0.00994838
1.76,0.0335103
-2.24583,-0.0427606
1.54,0.0293215
1.65,0.0314159
-1.13667,-0.0216421
1.46667,0.0279253
-1.38417,-0.0263545
0.284167,0.00541052
1.27417,0.0242601
-2.695,-0.0513127
1.1275,0.0214675
0.916667,0.0174533
0.916667,0.0174533
1.045,0.0198968
0.385,0.00733038
-2.56667,-0.0488692
0.77,0.0146608
-0.650833,-0.0123918
-1.8975,-0.0361283
3.48333,0.0663225
-2.48417,-0.0472984
1.42083,0.0270526
-2.46583,-0.0469494
-2.27333,-0.0432842
3.83167,0.0729548
-3.19,-0.0607375
-2.65833,-0.0506145
3.17167,0.0603884
-4.125,-0.0785398
3.08,0.0586431
2.56667,0.0488692
0.5225,0.00994838
0.128333,0.00244346
1.24667,0.0237365
-3.96,-0.0753982
2.31917,0.0441568
-1.46667,-0.0279253
-1.44833,-0.0275762
3.15333,0.0600393
-3.0525,-0.0581195
2.90583,0.0553269
1.0725,0.0204204
-3.1075,-0.0591667
-2.54833,-0.0485202
-1.265,-0.0240855
-3.45583,-0.0657989
-0.33,-0.00628319
2.49333,0.047473
-2.98833,-0.0568977
3.1075,0.0591667
3.1075,0.0591667
-3.89583,-0.0741765
1.76,0.0335103
-2.9425,-0.0560251
-2.365,-0.0450295
2.68583,0.0511381
-2.24583,-0.0427606
1.485,0.0282743
-0.843333,-0.016057
-4.08833,-0.0778417
3.59333,0.0684169
-3.48333,-0.0663225
-1.82417,-0.0347321
2.31,0.0439823
0.6875,0.01309
-0.320833,-0.00610865
1.8425,0.0350811
0.44,0.00837758
0.44,0.00837758
1.87,0.0356047
0.0641667,0.00122173
-1.64083,-0.0312414
3.18083,0.0605629
-2.7225,-0.0518363
0.11,0.0020944
0.0183333,0.000349066
-3.37333,-0.0642281
1.75083,0.0333358
3.2725,0.0623083
-2.49333,-0.047473
1.09083,0.0207694
-2.16333,-0.0411898
-2.84167,-0.0541052
2.43833,0.0464258
-3.81333,-0.0726057
-0.540833,-0.0102974
1.60417,0.0305433
1.0175,0.0193732
-0.705833,-0.013439
2.78667,0.053058
-2.71333,-0.0516617
-1.24667,-0.0237365
1.25583,0.023911
-2.45667,-0.0467748
-0.779167,-0.0148353
1.57667,0.0300197
0.449167,0.00855211
-0.705833,-0.013439
2.07167,0.0394444
2.07167,0.0394444
-0.614167,-0.0116937
1.74167,0.0331613
-0.861667,-0.0164061
0.238333,0.00453786
2.41083,0.0459022
-1.28333,-0.0244346
1.87917,0.0357792
0.806667,0.0153589
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.0916667,-0.00174533
0,0
0.6325,0.0120428
1.28333,0.0244346
3.41917,0.0651008
-1.375,-0.0261799
-0.9625,-0.018326
-0.733333,-0.0139626
0,0
-0.605,-0.0115192
0,0
0,0
-1.00833,-0.0191986
-8.25917,-0.157254
-13.0258,-0.248011
-11.3483,-0.216072
-10.4317,-0.198618
-0.1375,-0.00261799
1.87,0.0356047
-0.99,-0.0188496
0,0
0,0
0,0
