p (r/min),w (rad/s)
-2.49333,-0.047473
-2.97917,-0.0567232
0.898333,0.0171042
-1.6225,-0.0308923
1.60417,0.0305433
2.09,0.0397935
2.09,0.0397935
2.805,0.0534071
-4.07,-0.0774926
2.09917,0.039968
-0.889167,-0.0169297
0.6325,0.0120428
2.81417,0.0535816
-3.85917,-0.0734784
-0.944167,-0.0179769
-8.40583,-0.160047
-5.06917,-0.0965167
-7.77333,-0.148004
-9.24917,-0.176104
-5.73833,-0.109258
-8.6075,-0.163886
-9.02917,-0.171915
-7.15917,-0.13631
-8.53417,-0.16249
-2.7225,-0.0518363
-3.59333,-0.0684169
-0.293333,-0.00558505
-3.53833,-0.0673697
-4.5925,-0.087441
-3.56583,-0.0678933
-3.37333,-0.0642281
-3.09833,-0.0589921
-5.93083,-0.112923
-4.65667,-0.0886627
-1.11833,-0.021293
-5.555,-0.105767
-4.99583,-0.0951204
-1.53083,-0.029147
-5.27083,-0.100356
-3.40083,-0.0647517
-8.20417,-0.156207
-6.9025,-0.131423
-9.955,-0.189543
-6.77417,-0.12898
-8.39667,-0.159872
-9.56083,-0.182038
-6.77417,-0.12898
-11.7792,-0.224275
-7.79167,-0.148353
-6.83833,-0.130202
1.66833,0.031765
-8.34167,-0.158825
-2.805,-0.0534071
-4.66583,-0.0888373
-5.98583,-0.11397
-1.31083,-0.0249582
-7.90167,-0.150447
-7.90167,-0.150447
-1.46667,-0.0279253
-3.61167,-0.068766
-1.0175,-0.0193732
-1.94333,-0.037001
-1.94333,-0.037001
-1.87,-0.0356047
-4.62,-0.0879646
-2.07167,-0.0394444
-2.97,-0.0565487
-2.97,-0.0565487
-0.495,-0.00942478
-5.2525,-0.100007
-5.4175,-0.103149
-0.055,-0.0010472
-6.985,-0.132994
-2.38333,-0.0453786
-3.6575,-0.0696386
-4.62917,-0.0881391
-3.48333,-0.0663225
-1.97083,-0.0375246
-2.97917,-0.0567232
0.44,0.00837758
-7.03083,-0.133867
-1.4025,-0.0267035
-1.25583,-0.023911
-4.60167,-0.0876155
